구,주소,상호,휘발유,경유,위도,경도
사하구,부산 사하구 낙동대로 339,(주)천일에너지 대진주유소,1597,1477,35.1002675,128.9797995
사하구,부산 사하구 다대로 280 (장림동),㈜대로주유소 오일,1599,1379,35.0775271,128.9760997
사하구,부산 사하구 낙동대로 312 (괴정동),조은셀프주유소,1618,1498,35.1001101,128.9831903
사하구,부산 사하구 하신중앙로 166 (신평동),신평주유소,1637,1517,35.0937346,128.9631461
사하구,부산 사하구 을숙도대로 821,대창제1주유소,1639,1479,35.0859034,128.9941181
사하구,부산 사하구 을숙도대로 712,다대로주유소,1648,1508,35.0844669,128.9832217
사하구,부산 사하구 감천항로 20,인도에너지(주),1658,1498,35.0854401,128.9977344
사하구,부산 사하구 장림로 287 (장림동),장림주유소,1678,1478,35.0842059,128.9796012
사하구,부산 사하구 하신중앙로 55 (신평동),대호주유소,1685,1528,35.0839867,128.9646363
사하구,부산 사하구 장림번영로 7 (장림동),SK에너지(주)국영,1699,1589,35.0819118,128.9668465
사하구,부산 사하구 을숙도대로 728,선경주유소,,1419,35.0848601,128.9851397
사하구,부산 사하구 감천항로 225,비에스에너지㈜메가오션주유소,,,35.0728233,128.9906917
서구,부산 서구 충무대로 240,피치스주유소 빙고점,1528,1388,35.0919615,129.0244026
서구,부산 서구 충무대로 126,충무대로 셀프주유소 와이케이에너지㈜,1528,1388,35.0816386,129.0253715
서구,부산 서구 충무대로 108 (암남동),남항대교주유소,1528,1388,35.0805766,129.0238466
서구,부산 서구 보수대로 220 (동대신제3동),(주)디시에너지 운동장,1578,1438,35.1171053,129.0188043
서구,부산 서구 대영로 91,(주)디시에너지 대신지점,1588,1468,35.1114057,129.0210485
서구,부산 서구 대영로 88,고려주유소 대신점,1589,1469,35.1108586,129.0207879
서구,부산 서구 충무대로 150 (남부민동),남부주유소 (송도아랫길),1599,1449,35.0873609,129.0232453
서구,부산 서구 구덕로 273 (서대신동1가),(주)부영에너지직영신일주유소,1698,1589,35.1097703,129.0172694
서구,부산 서구 원양로 260,㈜한국페트로 스타2주유소,1868,1434,35.0742783,129.0064934
서구,부산 서구 감천로 227,피치스주유소 송도점,1888,1408,35.0821804,129.0125945
수영구,부산 수영구 광남로 241 (민락동),마린타이거주유소,1563,1433,35.1594454,129.1253524
수영구,부산 수영구 광남로 83,(주)경인에너지 광안리주유소,1563,1433,35.1496964,129.113866
수영구,부산 수영구 광남로 176,(주)세왕에너지 세진주유소,1563,1433,35.1564917,129.1195737
수영구,부산 수영구 과정로 23,신영주유소,1574,1434,35.1735112,129.10804
수영구,부산 수영구 민락본동로 30,센텀타이거주유소,1578,1458,35.1594492,129.1286839
수영구,부산 수영구 수영로 731,대양산업(주)대영주유소,1583,1494,35.1688937,129.1192554
